Niño, Bambino, Enfant, Kind, Child
Estrella, Stella, Étoile, Stern, Star
Casa, Casa, Maison, Haus, House
Barato, Economico, Bon marché, Günstig, Cheap
Amistad, Amicizia, Amitié, Freundschaft, Friendship
Aire, Aria, Air, Luft, Air
Agua, Acqua, Eau, Wasser, Water
Amigo, Amico, Ami, Freund, Friend
Baile, Danza, Danse, Tanz, Dance
Amor, Amore, Amour, Liebe, Love
Banco, Banca, Banque, Bank, Bank
Camino, Strada, Chemin, Weg, Path
Café, Caffè, Café, Kaffee, Coffee
Basquetbol, Pallacanestro, Basketball, Basketball, Basketball
Calor, Calore, Chaleur, Hitze, Heat
Carne, Carne, Viande, Fleisch, Meat
Canción, Canzone, Chanson, Lied, Song
Caro, Costoso, Cher, Teuer, Expensive
Cumpleaños, Compleanno, Anniversaire, Geburtstag, Birthday
Coche, Auto, Voiture, Auto, Car
Cielo, Cielo, Ciel, Himmel, Sky
Cerveza, Birra, Bière, Bier, Beer
Ciudad, Città, Ville, Stadt, City
Compras, Acquisti, Achats, Einkäufe, Shopping
Comida, Cibo, Nourriture, Essen, Food
Correr, Correre, Courir, Laufen, Running
Día, Giorno, Jour, Tag, Day
Dinero, Denaro, Argent, Geld, Money
Deportes, Sport, Sport, Sport, Sports
Dolor, Dolore, Douleur, Schmerz, Pain
Enfermera, Infermiera, Infirmière, Krankenschwester, Nurse
Enfermedad, Malattia, Maladie, Krankheit, Illness
Escuela, Scuola, École, Schule, School
Libro, Libro, Livre, Buch, Book
Fútbol, Calcio, Football, Fußball, Soccer
Flor, Fiore, Fleur, Blume, Flower
Felicidad, Felicità, Bonheur, Glück, Happiness
Familia, Famiglia, Famille, Familie, Family
Fiesta, Festa, Fête, Feier, Party
Frío, Freddo, Froid, Kälte, Cold
Fruta, Frutta, Fruit, Obst, Fruit
Fuego, Fuoco, Feu, Feuer, Fire
Invierno, Inverno, Hiver, Winter, Winter
Hambre, Fame, Faim, Hunger, Hunger
Gato, Gatto, Chat, Katze, Cat
Hospital, Ospedale, Hôpital, Krankenhaus, Hospital
Jugo, Succo, Jus, Saft, Juice
Juego, Gioco, Jeu, Spiel, Game
Leche, Latte, Lait, Milch, Milk
Mesa, Tavolo, Table, Tisch, Table
Mar, Mare, Mer, Meer, Sea
Luna, Luna, Lune, Mond, Moon
Lluvia, Pioggia, Pluie, Regen, Rain
Manzana, Mela, Pomme, Apfel, Apple
Mañana, Mattina, Matin, Morgen, Morning
Mariposa,Farfalla,Papillon,Schmetterling,Butterfly
Mercado, Mercato, Marché, Markt, Market
Música, Musica, Musique, Musik, Music
Montaña, Montagna, Montagne, Berg, Mountain
Montar, Cavalcare, Monter, Reiten, Riding
Médico, Medico, Médecin, Arzt, Doctor
Natación, Nuoto, Natation, Schwimmen, Swimming
Naranja, Arancia, Orange, Orange, Orange
Nieve, Neve, Neige, Schnee, Snow
Salud, Salute, Santé, Gesundheit, Health
Plátano, Banana, Banane, Banane, Banana
País, Paese, Pays, Land, Country
Otoño, Autunno, Automne, Herbst, Autumn
Noche, Notte, Nuit, Nacht, Night
Pan, Pane, Pain, Brot, Bread
Perro, Cane, Chien, Hund, Dog
Película, Film, Film, Film, Movie
Pescado, Pesce, Poisson, Fisch, Fish
Puerta, Porta, Porte, Tür, Door
Precio, Prezzo, Prix, Preis, Price
Pollo, Pollo, Poulet, Huhn, Chicken
Primavera, Primavera, Printemps, Frühling, Spring
Regalo, Regalo, Cadeau, Geschenk, Gift
Queso, Formaggio, Fromage, Käse, Cheese
Ropa, Vestiti, Vêtements, Kleidung, Clothes
Tierra, Terra, Terre, Erde, Earth
Tarde, Pomeriggio, Après-midi, Nachmittag, Afternoon
Silla, Sedia, Chaise, Stuhl, Chair
Sed, Sete, Soif, Durst, Thirst
Sol, Sole, Soleil, Sonne, Sun
Tenis, Tennis, Tennis, Tennis, Tennis
Tarjeta, Carta, Carte, Karte, Card
Tienda, Negozio, Magasin, Laden, Store
Viaje, Viaggio, Voyage, Reise, Travel
Vacaciones, Vacanze, Vacances, Urlaub, Holidays
Té, Tè, Thé, Tee, Tea
Trabajo, Lavoro, Travail, Arbeit, Work
Uva, Uva, Raisin, Traube, Grape
Verano, Estate, Été, Sommer, Summer
Ventana, Finestra, Fenêtre, Fenster, Window
Verdura, Verdura, Légume, Gemüse, Vegetable
Vino, Vino, Vin, Wein, Wine
Viento, Vento, Vent, Wind, Wind
Zapato, Scarpa, Chaussure, Schuh, Shoe
Árbol, Albero, Arbre, Baum, Tree
